City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
150,nova vicosa,-17.8919,-39.3719,26.65,76,24,3.87,BR,1736625607
151,longyearbyen,78.2186,15.6401,-11.09,79,40,2.57,SJ,1736625608
152,geraldton,-28.7667,114.6,21.23,78,20,3.6,AU,1736625310
153,zambezi,-13.5432,23.1047,18.99,88,40,1.56,ZM,1736625592
154,rongelap,11.1635,166.8941,26.89,81,99,10.5,MH,1736625612
155,tlahualilo de zaragoza,26.1167,-103.45,10.69,30,16,1.9,MX,1736625613
156,gadzhiyevo,69.2551,33.3362,-14.62,94,11,5.59,RU,1736625614
157,dolores,-36.3132,-57.6792,27.75,42,96,7.86,AR,1736625616
158,newman,37.3138,-121.0208,15.58,36,0,8.49,US,1736625618
159,kununurra,-15.7667,128.7333,26.99,89,77,2.57,AU,1736625619
160,lisakovsk,52.5369,62.4936,-10.56,94,98,2.39,KZ,1736625620
161,kolonia,50.9333,6.95,1.15,91,100,5.14,DE,1736625382
162,lazaro cardenas,17.9583,-102.2,26.76,67,77,4.1,MX,1736625623
163,sydney,-33.8679,151.2073,19.72,84,0,0.0,AU,1736625186
164,tsiombe,-25.3,45.4833,26.22,70,0,2.75,MG,1736625626
165,gamba,-2.65,10.0,25.87,89,100,2.55,GA,1736625627
166,ashland,40.8167,-82.2665,-1.17,94,100,5.13,US,1736625629
167,port alfred,-33.5906,26.891,20.1,87,9,2.68,ZA,1736625628
168,fortuna,40.5982,-124.1573,11.16,67,0,4.63,US,1736625632
169,lata,40.1629,-8.3327,11.49,100,47,0.79,PT,1736625633
170,andergrove,-21.0833,149.1833,26.07,88,100,5.56,AU,1736625635
171,sao joao da barra,-21.6403,-41.0511,28.05,79,72,5.6,BR,1736625636
172,kalymnos,36.95,26.9833,14.74,88,40,2.57,GR,1736625638
173,jolo,6.05,121.0167,25.23,91,99,1.46,PH,1736625639
174,colonia,50.9333,6.95,1.15,91,100,5.14,DE,1736625382
175,puerto natales,-51.7236,-72.4875,14.25,77,100,2.57,CL,1736625642
176,karratha,-20.7377,116.8463,30.16,65,99,2.41,AU,1736625644
177,houlton,46.1262,-67.8403,-4.56,90,100,1.74,US,1736625645
178,kabo,7.6994,18.629,25.28,22,5,2.45,CF,1736625646
179,flying fish cove,-10.4217,105.6791,24.82,94,75,3.6,CX,1736625648
180,tual,-5.6667,132.75,28.2,74,100,1.67,ID,1736625649
181,san patricio,28.017,-97.5169,13.73,33,0,3.66,US,1736625650
182,douglas,41.3,-96.167,0.37,68,100,1.54,US,1736625652
183,camalu,30.85,-116.0667,17.62,29,0,6.99,MX,1736625653
184,ketchikan,55.3422,-131.6461,4.86,97,100,0.89,US,1736625654
185,mejit,10.2753,170.8646,26.59,71,100,10.01,MH,1736625655
186,mananjary,-21.2167,48.3333,24.93,91,28,1.81,MG,1736625657
187,urangan,-25.3,152.9,24.12,78,42,0.54,AU,1736625489
188,sisimiut,66.9395,-53.6735,-17.24,87,4,5.67,GL,1736625659
189,el bauga,18.262,33.9081,16.99,24,0,6.07,SD,1736625662
190,kalabo,-14.97,22.6814,19.9,85,62,2.41,ZM,1736625663
191,georgetown,5.4112,100.3354,26.79,61,20,4.12,MY,1736625665
192,beloha,-25.1667,45.05,26.0,71,0,3.66,MG,1736625666
193,hithadhoo,-0.6,73.0833,27.41,72,29,4.33,MV,1736625668
194,acarau,-2.8856,-40.12,28.61,70,10,6.19,BR,1736625610
195,melfort,52.8667,-104.6177,-16.93,78,100,4.63,CA,1736625671
196,ulverstone,-41.15,146.1667,20.4,91,100,3.15,AU,1736625673
197,westport,41.1415,-73.3579,0.53,73,100,4.63,US,1736625398
198,zhangye,38.9342,100.4517,-7.12,41,0,0.52,CN,1736625676
199,paramonga,-10.6667,-77.8333,23.24,75,93,4.12,PE,1736625680
200,okhotsk,59.3833,143.3,-24.82,86,44,3.9,RU,1736625681
201,nalut,30.3333,10.85,12.13,34,0,3.06,LY,1736625683
202,suoyarvi,62.0833,32.35,-6.21,94,100,5.16,RU,1736625684
203,libenge,3.65,18.6333,25.44,31,12,0.54,CD,1736625686
204,chonchi,-42.6128,-73.8092,22.87,41,99,0.86,CL,1736625689
205,pahrump,36.2083,-115.9839,13.38,19,0,7.15,US,1736625691
206,grand falls-windsor,48.9332,-55.6649,0.84,86,99,0.45,CA,1736625693
207,buka,40.8108,69.1986,0.72,52,0,0.8,UZ,1736625695
208,ha tien,10.3833,104.4833,23.41,59,100,8.87,VN,1736625696
